66.249.64.71 bot - "2014-06-12 07:22:15" http://edicions.uib.es/ojs/index.php/enginy/article/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.76.170 bot - "2014-06-12 07:23:36" http://edicions.uib.es/ojs/index.php/enginy/article/view/46 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 07:23:45" http://edicions.uib.es/ojs/index.php/enginy/article/view/148 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 07:23:50" http://edicions.uib.es/ojs/index.php/enginy/article/view/63 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.167 bot - "2014-06-12 07:25:59" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 07:28:01" http://edicions.uib.es/ojs/index.php/enginy/article/view/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.167 bot - "2014-06-12 07:30:34" http://edicions.uib.cat/ojs/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
195.211.155.153 - - "2014-06-12 07:33:09" http://enginy.uib.es/index.php/enginy/index 200 "Opera/9.80 (Windows NT 6.1; Win64; x64) Presto/2.12.388 Version/12.16"
66.249.76.170 bot - "2014-06-12 07:33:44" http://edicions.uib.es/ojs/index.php/enginy/article/view/148 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 07:34:19" http://edicions.uib.es/ojs/index.php/enginy/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:34:29" http://edicions.uib.es/ojs/index.php/enginy/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.71 bot - "2014-06-12 07:34:55" http://edicions.uib.es/ojs/index.php/enginy/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.172 bot - "2014-06-12 07:35:08" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:35:13" http://edicions.uib.es/ojs/index.php/enginy/article/view/58 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.71 bot - "2014-06-12 07:38:27" http://edicions.uib.es/ojs/index.php/enginy/article/view/4 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-12 07:39:22" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.169 bot - "2014-06-12 07:43:16" http://enginy.uib.es/index.php/enginy/article/download/65/48 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:47:09" http://edicions.uib.es/ojs/index.php/enginy/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.71 bot - "2014-06-12 07:48:28" http://edicions.uib.es/ojs/index.php/enginy/article/view/41 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 07:51:18" http://edicions.uib.es/ojs/index.php/enginy/article/view/96 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
186.84.161.14 - - "2014-06-12 07:51:26" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
66.249.69.185 bot - "2014-06-12 07:52:14" http://enginy.uib.es/index.php/Curs_OJS/article/view/120 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-12 07:53:27" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-12 07:57:49" http://edicions.uib.es/ojs/index.php/enginy/article/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.185 bot - "2014-06-12 08:16:46" http://enginy.uib.es/index.php/enginy/article/download/27/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.201 bot - "2014-06-12 08:18:40" http://enginy.uib.es/index.php/enginy/article/view/91 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.167 bot - "2014-06-12 08:23:43" http://edicions.uib.cat/ojs/index.php/enginy/article/download/82/61 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.201 bot - "2014-06-12 08:25:55" http://enginy.uib.es/index.php/enginy/article/view/143 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 08:26:42" http://edicions.uib.es/ojs/index.php/enginy/article/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.169 bot - "2014-06-12 08:56:23" http://enginy.uib.es/index.php/enginy/article/download/59/41 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
213.37.5.111 - - "2014-06-12 08:56:54" http://enginy.uib.es/index.php/enginy/article/download/54/36 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
37.58.100.70 bot - "2014-06-12 09:00:10" http://edicions.uib.es/ojs/index.php/Materialidades/index 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.69.185 bot - "2014-06-12 09:02:42" http://enginy.uib.es/index.php/enginy/article/download/44/27 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.169 bot - "2014-06-12 09:21:38" http://enginy.uib.es/index.php/enginy/article/view/101 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.201 bot - "2014-06-12 09:28:24" http://enginy.uib.es/index.php/enginy/article/view/146 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-12 09:39:49" http://edicions.uib.es/ojs/index.php/insularisgeographia/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
