185.93.3.100 - - "2018-01-21 20:21:23" http://edicions.uib.cat/ojs/index.php/enginy/article/view/48 200 "Mozilla/5.0 (compatible; Cliqzbot/2.0; +http://cliqz.com/company/cliqzbot)"
178.159.37.18 - - "2018-01-21 20:53:27" http://edicions.uib.cat/ojs/index.php/enginy/article/download/74/53 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
180.76.15.22 bot - "2018-01-21 21:06:44" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
40.77.167.111 bot - "2018-01-21 21:22:08" http://enginy.uib.es/index.php/Materialidades/article/download/162/342 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
185.93.3.100 - - "2018-01-21 21:22:39" http://edicions.uib.cat/ojs/index.php/enginy/article/view/48 200 "Mozilla/5.0 (compatible; Cliqzbot/2.0; +http://cliqz.com/company/cliqzbot)"
79.157.119.13 - - "2018-01-21 21:53:21" http://edicions.uib.cat/ojs/index.php/enginy/article/download/49/31 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_2 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0 Mobile/15C202 Safari/604.1"
141.8.142.18 bot - "2018-01-21 22:09:03" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/372 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
141.8.142.18 bot - "2018-01-21 22:27:46" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/368 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.64.18 bot - "2018-01-21 23:09:21" http://enginy.uib.es/index.php/enginy/article/download/84/63 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.18 bot - "2018-01-21 23:19:29" http://enginy.uib.es/index.php/enginy/article/download/32/16 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
81.209.177.189 - - "2018-01-21 23:20:26" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:20:42" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:21:12" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:21:55" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/369 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:25:47" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/377 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
