10.170.134.141 - - "2014-06-20 17:42:49" http://enginy.uib.es/index.php/enginy/article/download/101/117 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
66.249.64.162 bot - "2014-06-20 18:19:29" http://edicions.uib.cat/ojs/index.php/enginy/article/download/145/121 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.167 bot - "2014-06-20 18:20:32" http://edicions.uib.cat/ojs/index.php/enginy/article/download/144/119 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.172 bot - "2014-06-20 18:22:32" http://edicions.uib.cat/ojs/index.php/enginy/article/view/94 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-20 18:23:41" http://edicions.uib.cat/ojs/index.php/enginy/article/download/142/118 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.172 bot - "2014-06-20 18:23:59" http://edicions.uib.cat/ojs/index.php/enginy/article/download/145/121 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-20 18:26:54" http://edicions.uib.cat/ojs/index.php/enginy/article/download/142/118 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.167 bot - "2014-06-20 18:27:02" http://edicions.uib.cat/ojs/index.php/enginy/article/download/70/114 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.172 bot - "2014-06-20 18:27:49" http://edicions.uib.cat/ojs/index.php/enginy/article/download/91/110 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
62.43.32.179 - - "2014-06-20 18:31:22" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36"
66.249.64.162 bot - "2014-06-20 18:31:21" http://edicions.uib.cat/ojs/index.php/enginy/article/download/94/113 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.172 bot - "2014-06-20 18:31:37" http://edicions.uib.cat/ojs/index.php/enginy/article/download/93/111 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-20 18:32:58" http://edicions.uib.cat/ojs/index.php/enginy/article/download/98/116 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.172 bot - "2014-06-20 18:34:22" http://edicions.uib.cat/ojs/index.php/enginy/article/download/143/120 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-20 18:36:09" http://edicions.uib.cat/ojs/index.php/enginy/article/download/92/115 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.81 bot - "2014-06-20 18:37:07" http://edicions.uib.es/ojs/index.php/Curs_OJS/issue/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-20 18:37:24" http://edicions.uib.es/ojs/index.php/enginy/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
200.116.126.241 - - "2014-06-20 18:37:59" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko"
66.249.64.172 bot - "2014-06-20 18:38:11" http://edicions.uib.cat/ojs/index.php/enginy/article/download/92/115 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-20 18:38:26" http://edicions.uib.cat/ojs/index.php/enginy/article/download/91/110 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.162 bot - "2014-06-20 18:38:57" http://edicions.uib.cat/ojs/index.php/enginy/article/download/94/113 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.71 bot - "2014-06-20 18:39:22" http://edicions.uib.es/ojs/index.php/Materialidades/issue/view/40 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.76 bot - "2014-06-20 18:42:21" http://edicions.uib.es/ojs/index.php/enginy/issue/view/6 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.172 bot - "2014-06-20 18:43:36" http://edicions.uib.cat/ojs/index.php/enginy/article/download/101/117 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
80.31.239.45 - - "2014-06-20 18:45:48" http://enginy.uib.es/index.php/enginy/article/download/74/53 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0"
66.249.64.172 bot - "2014-06-20 18:47:22" http://edicions.uib.cat/ojs/index.php/enginy/article/download/96/112 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
157.55.39.222 bot - "2014-06-20 18:47:46" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.122 bot - "2014-06-20 18:48:00" http://enginy.uib.es/index.php/Materialidades/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
